sps,test,model,score,Cutoff,Sensitivity,Specificity
Cint,SR,RF,1,990,97.33,99.76
Cint,SR,GAM,0.99,982,95.26,99.35
Cint,ACCURACY,GLM,0.99,783,99,98.38
Cint,ACCURACY,ANN,0.99,562,99.41,98.48
Cint,ACCURACY,RF,0.99,695,99.21,99.37
Cint,ACCURACY,GAM,0.99,927,98.85,98.94
Cint,BIAS,GLM,1,949,97.67,98.65
Cint,BIAS,ANN,1,930,97.94,98.84
Cint,BIAS,RF,1,816,98.94,99.41
Cint,BIAS,GAM,1,950,98.41,99.04
Cint,POD,GLM,1,14,99.87,58.31
Cint,POD,ANN,1,8,99.99,19.49
Cint,POD,RF,1,3,100,19.63
Cint,POD,GAM,1,2,100,0
Cint,CSI,GLM,0.96,750,99.1,98.36
Cint,CSI,ANN,0.97,441,99.54,98.42
Cint,CSI,RF,0.98,687,99.23,99.35
Cint,CSI,GAM,0.97,914,98.86,98.93
Cint,ETS,GLM,0.94,750,99.1,98.36
Cint,ETS,ANN,0.95,441,99.54,98.42
Cint,ETS,RF,0.97,687,99.23,99.35
Cint,ETS,GAM,0.95,914,98.86,98.93
Cmae,KAPPA,GLM,0.98,165,99.67,98.36
Cmae,KAPPA,ANN,0.98,183,99.56,98.95
Cmae,KAPPA,RF,0.99,182,99.77,98.65
Cmae,KAPPA,GAM,0.98,112,99.66,98.56
Cmae,TSS,GLM,0.99,939,99.36,99.18
Cmae,TSS,ANN,0.99,454,99.42,99.2
Cmae,TSS,RF,0.99,911,99.45,99.35
Cmae,TSS,GAM,0.99,773,99.35,99.16
Cmae,ROC,GLM,1,NA,NA,NA
Cmae,ROC,ANN,1,NA,NA,NA
Cmae,ROC,RF,1,NA,NA,NA
Cmae,ROC,GAM,1,NA,NA,NA
Cmae,FAR,GLM,1,982,97.45,99.51
Cmae,FAR,ANN,1,986,98.08,99.47
Cmae,FAR,RF,1,988,99.16,99.56
Cmae,FAR,GAM,1,985,97.74,99.58
Cmae,SR,GLM,1,982,97.45,99.51
Cmae,SR,ANN,1,986,98.08,99.47
Cmae,SR,RF,1,988,99.16,99.56
Cmae,SR,GAM,1,985,97.74,99.58
Cmae,ACCURACY,GLM,0.99,148,99.68,98.34
Cmae,ACCURACY,ANN,0.99,180,99.56,98.95
Cmae,ACCURACY,RF,1,159,99.77,98.63
Cmae,ACCURACY,GAM,0.99,85,99.67,98.51
Cmae,BIAS,GLM,1,376,99.59,98.49
Cmae,BIAS,ANN,1,36,99.59,98.69
Cmae,BIAS,RF,1,415,99.69,98.82
Cmae,BIAS,GAM,1,122,99.61,98.59
Cmae,POD,GLM,1,2,100,0
Cmae,POD,ANN,1,3,100,0
Cmae,POD,RF,1,0,100,0
Cmae,POD,GAM,1,2,100,0
Cmae,CSI,GLM,0.99,127,99.68,98.33
Cmae,CSI,ANN,0.99,165,99.57,98.93
Cmae,CSI,RF,0.99,135,99.78,98.6
Cmae,CSI,GAM,0.99,72,99.69,98.43
Cmae,ETS,GLM,0.96,165,99.67,98.36
Cmae,ETS,ANN,0.97,183,99.56,98.95
Cmae,ETS,RF,0.97,182,99.77,98.65
Cmae,ETS,GAM,0.97,112,99.66,98.56
Copi,KAPPA,GLM,0.97,322,99.49,97.36
Copi,KAPPA,ANN,0.97,297,99.41,97.97
Copi,KAPPA,RF,0.99,224,99.86,98.76
Copi,KAPPA,GAM,0.98,119,99.62,97.57
Copi,TSS,GLM,0.97,853,99.02,98.31
Copi,TSS,ANN,0.98,649,99.2,98.4
Copi,TSS,RF,0.99,848,99.58,99.26
Copi,TSS,GAM,0.97,609,99.13,98.27
Copi,ROC,GLM,0.99,NA,NA,NA
Copi,ROC,ANN,0.99,NA,NA,NA
Copi,ROC,RF,1,NA,NA,NA
Copi,ROC,GAM,1,NA,NA,NA
Copi,FAR,GLM,1,975,88.85,98.95
Copi,FAR,ANN,1,978,89.4,99
Copi,FAR,RF,1,988,99.22,99.45
Copi,FAR,GAM,1,979,93.21,99.08
Copi,SR,GLM,1,975,88.85,98.95
Copi,SR,ANN,1,978,89.4,99
Copi,SR,RF,1,988,99.22,99.45
Copi,SR,GAM,1,979,93.21,99.08
Copi,ACCURACY,GLM,0.99,301,99.5,97.33
Copi,ACCURACY,ANN,0.99,294,99.41,97.97
Copi,ACCURACY,RF,1,188,99.86,98.72
Copi,ACCURACY,GAM,0.99,112,99.63,97.56
Copi,BIAS,GLM,1,486,99.38,97.65
Copi,BIAS,ANN,1,182,99.41,97.76
Copi,BIAS,RF,1,663,99.73,98.98
Copi,BIAS,GAM,1,233,99.43,97.83
Copi,POD,GLM,1,2,100,0
Copi,POD,ANN,1,4,100,0
Copi,POD,RF,1,0,100,0
Copi,POD,GAM,1,2,100,0
Copi,CSI,GLM,0.99,279,99.51,97.28
Copi,CSI,ANN,0.99,279,99.42,97.95
Copi,CSI,RF,1,134,99.89,98.65
Copi,CSI,GAM,0.99,99,99.64,97.51
Copi,ETS,GLM,0.94,322,99.49,97.36
Copi,ETS,ANN,0.95,297,99.41,97.97
Copi,ETS,RF,0.98,224,99.86,98.76
Copi,ETS,GAM,0.95,119,99.62,97.57
Dcau,KAPPA,GLM,0.95,520,98.34,97.15
Dcau,KAPPA,ANN,0.96,375,98.48,97.98
Dcau,KAPPA,RF,0.98,504,99.34,98.78
Dcau,KAPPA,GAM,0.96,259,98.85,97.3
Dcau,TSS,GLM,0.96,668,98,97.62
Dcau,TSS,ANN,0.96,491,98.35,98.16
Dcau,TSS,RF,0.98,647,99.15,99.03
Dcau,TSS,GAM,0.96,600,98.28,98.15
Dcau,ROC,GLM,0.99,NA,NA,NA
Dcau,ROC,ANN,0.99,NA,NA,NA
Dcau,ROC,RF,1,NA,NA,NA
Dcau,ROC,GAM,1,NA,NA,NA
Dcau,FAR,GLM,1,978,78.12,99.43
Dcau,FAR,ANN,1,979,93.95,99.14
Dcau,FAR,RF,1,988,98.01,99.55
Dcau,FAR,GAM,1,981,91.12,99.46
Dcau,SR,GLM,1,978,78.12,99.43
Dcau,SR,ANN,1,979,93.95,99.14
Dcau,SR,RF,1,988,98.01,99.55
Dcau,SR,GAM,1,981,91.12,99.46
Dcau,ACCURACY,GLM,0.98,520,98.34,97.15
Dcau,ACCURACY,ANN,0.98,358,98.5,97.94
Dcau,ACCURACY,RF,0.99,434,99.39,98.66
Dcau,ACCURACY,GAM,0.98,254,98.86,97.25
Dcau,BIAS,GLM,1,434,98.39,96.82
Dcau,BIAS,ANN,1,184,98.69,97.41
Dcau,BIAS,RF,1,450,99.32,98.65
Dcau,BIAS,GAM,1,286,98.67,97.35
Dcau,POD,GLM,1,7,100,0
Dcau,POD,ANN,1,9,100,0
Dcau,POD,RF,1,0,100,0
Dcau,POD,GAM,1,6,100,0
Dcau,CSI,GLM,0.97,520,98.34,97.15
Dcau,CSI,ANN,0.97,293,98.6,97.74
Dcau,CSI,RF,0.99,412,99.41,98.65
Dcau,CSI,GAM,0.97,247,98.87,97.23
Dcau,ETS,GLM,0.91,520,98.34,97.15
Dcau,ETS,ANN,0.93,375,98.48,97.98
Dcau,ETS,RF,0.96,504,99.34,98.78
Dcau,ETS,GAM,0.93,259,98.85,97.3
Dcon,KAPPA,GLM,0.97,584,99.23,98.47
Dcon,KAPPA,ANN,0.98,726,99.63,98.75
Dcon,KAPPA,RF,0.99,675,99.4,99.33
Dcon,KAPPA,GAM,0.97,606,99.33,98.5
Dcon,TSS,GLM,0.98,380,99.44,98.33
Dcon,TSS,ANN,0.98,612,99.77,98.65
Dcon,TSS,RF,0.99,384,99.63,99.16
Dcon,TSS,GAM,0.98,427,99.45,98.39
Dcon,ROC,GLM,0.99,NA,NA,NA
Dcon,ROC,ANN,1,NA,NA,NA
Dcon,ROC,RF,1,NA,NA,NA
Dcon,ROC,GAM,1,NA,NA,NA
Dcon,FAR,GLM,0.98,884,97.89,98.82
Dcon,FAR,ANN,0.98,983,96.21,99.11
Dcon,FAR,RF,0.99,980,97.74,99.65
Dcon,FAR,GAM,0.98,982,96.86,99.16
Dcon,SR,GLM,0.98,884,97.89,98.82
Dcon,SR,ANN,0.98,983,96.21,99.11
Dcon,SR,RF,0.99,980,97.74,99.65
Dcon,SR,GAM,0.98,982,96.86,99.16
